query_time,principal,table_name
2026-08-18 21:00:00,compliance_team,customer_pii
2026-08-15 07:00:00,compliance_team,customer_pii
2026-08-14 17:00:00,compliance_team,customer_pii
2026-08-13 14:00:00,compliance_team,customer_pii
2026-08-24 13:00:00,compliance_team,customer_pii
2026-08-24 23:00:00,compliance_team,customer_pii
2026-08-19 01:00:00,compliance_team,customer_pii
2026-08-25 09:00:00,compliance_team,customer_pii
2026-08-12 08:00:00,compliance_team,customer_pii
2026-08-22 09:00:00,compliance_team,customer_pii
2026-08-12 13:00:00,compliance_team,customer_pii
2026-08-15 05:00:00,compliance_team,customer_pii
2026-08-18 02:00:00,compliance_team,customer_pii
2026-08-25 10:00:00,compliance_team,customer_pii
2026-08-22 04:00:00,compliance_team,customer_pii
2026-08-14 23:00:00,compliance_team,customer_pii
2026-08-23 15:00:00,compliance_team,customer_pii
2026-08-12 08:00:00,compliance_team,customer_pii
2026-08-14 20:00:00,compliance_team,customer_pii
2026-08-20 23:00:00,compliance_team,customer_pii
2026-08-19 00:00:00,compliance_team,customer_pii
2026-08-15 11:00:00,compliance_team,customer_pii
2026-08-24 04:00:00,compliance_team,customer_pii
2026-08-17 19:00:00,compliance_team,customer_pii
2026-08-24 13:00:00,compliance_team,customer_pii
2026-08-19 18:00:00,compliance_team,customer_pii
2026-08-25 15:00:00,compliance_team,customer_pii
2026-08-16 04:00:00,compliance_team,customer_pii
2026-08-20 18:00:00,compliance_team,customer_pii
2026-08-16 04:00:00,compliance_team,customer_pii
2026-08-28 02:00:00,analyst_1,customer_pii
2026-08-27 01:00:00,analyst_3,customer_pii
2026-08-27 22:00:00,analyst_1,customer_pii
2026-08-26 17:00:00,analyst_6,customer_pii
2026-08-27 18:00:00,analyst_4,customer_pii
2026-08-28 07:00:00,analyst_7,customer_pii
2026-08-26 17:00:00,analyst_7,customer_pii
2026-08-28 01:00:00,analyst_3,customer_pii
2026-08-26 09:00:00,analyst_3,customer_pii
2026-08-26 07:00:00,analyst_7,customer_pii
2026-08-26 07:00:00,analyst_3,customer_pii
2026-08-26 02:00:00,analyst_8,customer_pii
